IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ALBINA,KOBIETA,10303
JUDYTA,KOBIETA,9879
BOLESŁAWA,KOBIETA,9807
ROMUALDA,KOBIETA,9778
VALENTYNA,KOBIETA,9750
LUDMIŁA,KOBIETA,9307
TAMARA,KOBIETA,9210
NICOLE,KOBIETA,9209
NADIIA,KOBIETA,9159
VICTORIA,KOBIETA,9121
NATASZA,KOBIETA,9012
NICOLA,KOBIETA,8983
ADELAJDA,KOBIETA,8865
JOWITA,KOBIETA,8777
VANESSA,KOBIETA,8133
INNA,KOBIETA,8087
LIWIA,KOBIETA,8049
INGA,KOBIETA,8018
MIA,KOBIETA,7920
LEONARDA,KOBIETA,7898
MARZENNA,KOBIETA,7891
ERYKA,KOBIETA,7814
JESSICA,KOBIETA,7546
GIZELA,KOBIETA,7537
LONGINA,KOBIETA,7509
LARYSA,KOBIETA,7492
TEOFILA,KOBIETA,7483
DONATA,KOBIETA,7469
ESTERA,KOBIETA,7434
ADA,KOBIETA,7286
BERNADETTA,KOBIETA,7080
NADZIEJA,KOBIETA,6872
TEKLA,KOBIETA,6857
LIUBOV,KOBIETA,6791
BIANKA,KOBIETA,6525
ELFRYDA,KOBIETA,6445
RITA,KOBIETA,6441
OLEKSANDRA,KOBIETA,6440
ELENA,KOBIETA,6424
YANA,KOBIETA,6374
IRMINA,KOBIETA,6300
ANETTA,KOBIETA,6233
RYSZARDA,KOBIETA,6012
KONSTANCJA,KOBIETA,5984
ALLA,KOBIETA,5927
BERNARDA,KOBIETA,5819
IDA,KOBIETA,5755
LILIA,KOBIETA,5736
AMANDA,KOBIETA,5641
EMMA,KOBIETA,5556
FLORENTYNA,KOBIETA,5521
SŁAWOMIRA,KOBIETA,5447
MAYA,KOBIETA,5296
WIERA,KOBIETA,5274
LUCJA,KOBIETA,5257
LILLA,KOBIETA,5061
LILIIA,KOBIETA,5057
ZYTA,KOBIETA,4981
KUNEGUNDA,KOBIETA,4900
SOFIIA,KOBIETA,4624
KAMILLA,KOBIETA,4500
ALONA,KOBIETA,4488
OLIMPIA,KOBIETA,4485
MARCELA,KOBIETA,4459
KLEMENTYNA,KOBIETA,4311
EDWARDA,KOBIETA,4306
LILA,KOBIETA,3985
MARIANA,KOBIETA,3978
IVANNA,KOBIETA,3967
VALERIIA,KOBIETA,3935
MIRELA,KOBIETA,3910
SEWERYNA,KOBIETA,3904
BALBINA,KOBIETA,3872
VERONIKA,KOBIETA,3866
FILOMENA,KOBIETA,3854
GAJA,KOBIETA,3818
FAUSTYNA,KOBIETA,3741
LEONTYNA,KOBIETA,3675
KSENIA,KOBIETA,3656
MARYLA,KOBIETA,3656
SOFIA,KOBIETA,3638
KHRYSTYNA,KOBIETA,3619
MARCJANNA,KOBIETA,3542
ALEXANDRA,KOBIETA,3510
SAMANTA,KOBIETA,3425
EDELTRAUDA,KOBIETA,3359
ZOJA,KOBIETA,3338
ERNA,KOBIETA,3197
LESIA,KOBIETA,3191
ALENA,KOBIETA,3162
ANGELINA,KOBIETA,3139
PETRONELA,KOBIETA,3112
VIKTORIA,KOBIETA,3102
BERTA,KOBIETA,3075
AMALIA,KOBIETA,3066
OKTAWIA,KOBIETA,3021
VIRA,KOBIETA,2939
LUBA,KOBIETA,2938
JAGNA,KOBIETA,2845
RUTA,KOBIETA,2843
PAMELA,KOBIETA,2796
BOGNA,KOBIETA,2744
WANESSA,KOBIETA,2709
YEVHENIIA,KOBIETA,2683
KRZYSZTOFA,KOBIETA,2666
DOMICELA,KOBIETA,2665
NEL,KOBIETA,2618
YELYZAVETA,KOBIETA,2615
NOEMI,KOBIETA,2557
CLAUDIA,KOBIETA,2554
GERDA,KOBIETA,2538
MIRELLA,KOBIETA,2519
YULIYA,KOBIETA,2505
