IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
KONSTANTY,MĘŻCZYZNA,15924
VLADYSLAV,MĘŻCZYZNA,15738
LESŁAW,MĘŻCZYZNA,15704
KUBA,MĘŻCZYZNA,15531
ADOLF,MĘŻCZYZNA,15286
ALFONS,MĘŻCZYZNA,15147
WALENTY,MĘŻCZYZNA,14946
GRACJAN,MĘŻCZYZNA,14620
ERNEST,MĘŻCZYZNA,14547
TOBIASZ,MĘŻCZYZNA,14478
OLEKSII,MĘŻCZYZNA,14471
BRUNO,MĘŻCZYZNA,14413
RUDOLF,MĘŻCZYZNA,14402
RUSLAN,MĘŻCZYZNA,13813
BENEDYKT,MĘŻCZYZNA,13529
HIERONIM,MĘŻCZYZNA,13117
FLORIAN,MĘŻCZYZNA,12263
KORNEL,MĘŻCZYZNA,11788
OLIVIER,MĘŻCZYZNA,11418
JULIUSZ,MĘŻCZYZNA,11333
ALEXANDER,MĘŻCZYZNA,10955
PAVLO,MĘŻCZYZNA,10869
ARTEM,MĘŻCZYZNA,10736
DENYS,MĘŻCZYZNA,10625
ZYGFRYD,MĘŻCZYZNA,10562
AUGUSTYN,MĘŻCZYZNA,10561
RAJMUND,MĘŻCZYZNA,10552
JĘDRZEJ,MĘŻCZYZNA,10532
VADYM,MĘŻCZYZNA,10495
ANATOLII,MĘŻCZYZNA,10481
TEOFIL,MĘŻCZYZNA,9892
ALEX,MĘŻCZYZNA,9884
GUSTAW,MĘŻCZYZNA,9537
LEOPOLD,MĘŻCZYZNA,9486
YAROSLAV,MĘŻCZYZNA,9446
DAVID,MĘŻCZYZNA,9330
ALBIN,MĘŻCZYZNA,9170
ALIAKSANDR,MĘŻCZYZNA,9107
PETRO,MĘŻCZYZNA,9083
YEVHEN,MĘŻCZYZNA,8733
BRUNON,MĘŻCZYZNA,8687
ALEKSY,MĘŻCZYZNA,8668
KLAUDIUSZ,MĘŻCZYZNA,8310
ANDREI,MĘŻCZYZNA,8211
WILHELM,MĘŻCZYZNA,8070
FRYDERYK,MĘŻCZYZNA,7983
ALEKS,MĘŻCZYZNA,7949
VALERII,MĘŻCZYZNA,7843
ANTON,MĘŻCZYZNA,7728
